Description,StockCode,Revenue,Quantity,InvoiceNo
CLEAR STATIONERY BOX SET ,16020C,69.89999999999999,84,17
CLOCK MAGNET MUM'S KITCHEN,23179,930.48,324,53
CLOTHES PEGS RETROSPOT PACK 24 ,22558,13325.869999999999,8676,772
COCKLE SHELL DISH,21417,629.8000000000001,340,68
COCKTAIL SWORDS 50 PIECES,23123,759.5699999999999,935,95
COFFEE MUG APPLES DESIGN,22303,6338.25,2816,261
COFFEE MUG BLUE PAISLEY DESIGN,22304,1352.88,761,61
COFFEE MUG CAT + BIRD DESIGN,22301,4980.83,2208,255
COFFEE MUG DOG + BALL DESIGN,22300,3409.21,1529,197
COFFEE MUG PEARS  DESIGN,22302,5134.29,2329,212
COFFEE MUG PINK PAISLEY DESIGN,22305,1604.58,693,51
COFFEE SCENT PILLAR CANDLE,72122,335.78999999999996,324,61
COLOUR GLASS T-LIGHT HOLDER HANGING,84755,10487.050000000001,16401,621
COLOUR GLASS. STAR T-LIGHT HOLDER,71477,17069.7,5736,264
COLOURED GLASS STAR T-LIGHT HOLDER,71477,3580.96,1012,52
COLOURFUL FLOWER FRUIT BOWL,35265,52.2,17,12
COLOURING PENCILS BROWN TUBE,10133,1539.6,2856,196
COLOURING PENCILS BROWN TUBE,10135,2204.89,2229,175
COLUMBIAN  CUBE CANDLE ,72134,58.62,105,11
COLUMBIAN CANDLE RECTANGLE,72131,236.39999999999998,136,18
COLUMBIAN CANDLE RECTANGLE,72133,63.51,45,16
COLUMBIAN CANDLE ROUND,72128,152.04999999999998,193,36
COLUMBIAN CANDLE ROUND,72130,133.34,219,27
COLUMBIAN CANDLE ROUND ,72127,210.61,169,30
COLUMBIAN CUBE CANDLE,72132,54.599999999999994,28,12
CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,37476,399.02,37,26
CONGRATULATIONS BUNTING,47589,70.85000000000001,13,3
COOK WITH WINE METAL SIGN ,21166,20874.440000000002,10324,723
COOKING SET RETROSPOT,22618,671.53,69,28
COPPER AND BRASS BAG CHARM,90043,24.810000000000002,4,2
COPPER/OLIVE GREEN FLOWER NECKLACE,90000D,129.85,21,14
CORDIAL GLASS JUG,23015,288.88,34,16
CORDIAL JUG,23015,49.5,6,2
CORONA MEXICAN TRAY,79067,719.69,172,38
COSMETIC BAG VINTAGE ROSE PAISLEY,22277,897.74,417,100
COSY HOUR CIGAR BOX MATCHES ,21591,1996.1399999999999,1374,146
COSY HOUR GIANT TUBE MATCHES,21587,475.65,195,26
COSY SLIPPER SHOES LARGE GREEN,21741,480.1700000000001,147,40
COSY SLIPPER SHOES SMALL  RED ,21738,144.58,46,21
COSY SLIPPER SHOES SMALL GREEN,21739,703.08,254,111
COTE D'AZURE NECKLACE,90159,29.790000000000003,6,5
COTTON APRON PANTRY DESIGN,22990,2917.4300000000003,633,164
COUNTRY COTTAGE  DOORSTOP GREEN,21410,8.47,1,1
COWBOYS AND INDIANS BIRTHDAY CARD ,21509,1572.28,3741,274
CRACKED GLAZE EARRINGS BROWN,90055,12.53,5,5
CRACKED GLAZE EARRINGS IVORY,90053,9.99,4,4
CRACKED GLAZE EARRINGS RED,90054,22.58,9,9
CRACKED GLAZE NECKLACE BROWN,90052,14.14,2,2
CRACKED GLAZE NECKLACE IVORY,90050,55.72,8,4
CRACKED GLAZE NECKLACE RED,90051,70.16,10,7
CRAZY DAISY HEART DECORATION,20707,468.39,464,149
CREAM AND PINK FLOWERS PONY ,84921,41.25,11,5
CREAM BUNNY EASTER EGG BASKET,23448,41.24999999999999,25,3
CREAM CLIMBING HYDRANGA ART FLOWER,84805A,60.0,32,4
CREAM CUPID HEARTS COAT HANGER,84406B,7653.17,2015,284
CREAM DELPHINIUM ARTIFICIAL FLOWER,84804A,180.58,70,8
CREAM FELT EASTER EGG BASKET,85206A,1568.9299999999998,974,114
CREAM HANGING HEART T-LIGHT HOLDER,85123A,178.51000000000002,61,9
CREAM HEART CARD HOLDER,22189,23435.82,8284,524
CREAM SLICE FLANNEL CHOCOLATE SPOT ,21106,702.51,237,53
CREAM SLICE FLANNEL PINK SPOT ,21107,2492.71,901,97
CREAM SWEETHEART EGG HOLDER,22854,3708.52,767,161
CREAM SWEETHEART LETTER RACK,85064,976.25,216,31
CREAM SWEETHEART MINI CHEST,85066,22594.2,1784,519
CREAM SWEETHEART WALL CABINET,85067,126.64999999999999,7,5
CREAM WALL PLANTER HEART SHAPED,22822,2582.75,433,158
CROCHET BEAR RED/BLUE  KEYRING,84548,36.3,22,4
CROCHET DOG KEYRING,84551,21.449999999999996,13,2
CROCHET LILAC/RED BEAR KEYRING,84550,1.65,1,1
CROCHET ROSE DES CLOTHES HANGER,84593,14.750000000000002,5,1
CROCHET ROSE PURSE WITH SUEDE BACK,84592,241.24000000000004,76,22
CROCHET WHITE RABBIT KEYRING ,84549,69.38,38,7
CRYSTAL CHANDELIER T-LIGHT HOLDER,23056,18.75,3,1
CRYSTAL CZECH CROSS PHONE CHARM,90083,23.47,25,9
CRYSTAL DIAMANTE EXPANDABLE RING,90185D,148.63,35,11
CRYSTAL DIAMANTE STAR BROOCH,90206C,224.73000000000002,45,31
CRYSTAL FROG PHONE CHARM,90086,77.78999999999999,102,28
CRYSTAL HOOP EARRING FLORAL LEAF,90186B,64.58,22,15
CRYSTAL PAIR HEART HAIR SLIDES,90003D,112.26,30,16
CRYSTAL SEA HORSE PHONE CHARM,90087,61.459999999999994,107,25
CRYSTAL STILETTO PHONE CHARM,90085,36.76,34,10
CRYSTAL STUD EARRINGS ASSORTED COL ,90058B,232.56,612,15
CRYSTAL STUD EARRINGS CLEAR DISPLAY,90058A,123.12,324,7
CUBIC MUG FLOCK BLUE ON BROWN,37479B,78.09,131,21
CUBIC MUG FLOCK PINK ON BROWN,37479P,142.23,163,32
CUBIC MUG PINK POLKADOT,37482P,349.35,494,47
CUPBOARD 3 DRAWER MA CAMPAGNE,22762,2786.0299999999997,171,112
CUPCAKE LACE PAPER SET 6,22938,4488.63,2367,186
CUPID DESIGN SCENTED CANDLES,72819,509.07,225,43
CUPID SCENTED CANDLE IN GLASS,72821,18.15,11,4
CURIO CABINET LINEN AND LACE ,23410,290.1,36,18
CURIOUS  IMAGES NOTEBOOK SET,85019C,270.72,182,11
CURIOUS IMAGES GIFT WRAP SET,85032C,718.5400000000001,683,140
CURIOUS IMAGES SCRAP BOOK SET,85031C,14.850000000000001,3,1
CUSHION COVER PINK UNION JACK,22786,764.63,123,47
CUT GLASS HEXAGON T-LIGHT HOLDER,85106,1142.31,649,20
CUT GLASS T-LIGHT HOLDER OCTAGON,85107,541.39,249,27
CUTE BIRD CEATURE SCREEN,84732B,8.58,22,2
CUTE CATS TAPE,21881,383.11,1102,79
CUTE RABBIT CEATURE SCREEN ,84732D,4.29,11,2
DAIRY MAID  PUDDING BOWL,21538,18.75,5,2
DAIRY MAID LARGE MILK JUG,21534,1879.18,370,155
DAIRY MAID STRIPE MUG,21845,1720.3000000000002,1906,82
DAIRY MAID TOASTRACK,21530,769.57,777,104
DAIRY MAID TRADITIONAL TEAPOT ,21528,1557.57,215,111
DAISIES  HONEYCOMB GARLAND ,21204,868.4399999999999,499,85
DAISY FOLKART HEART DECORATION,35972,120.0,96,16
DAISY GARDEN MARKER,22479,1658.57,1139,98
DAISY HAIR BAND,90170,140.32999999999998,85,37
DAISY HAIR COMB,90169,47.839999999999996,19,11
DAISY JOURNAL ,20769,217.55999999999997,80,34
DAISY NOTEBOOK ,20775,233.54,134,63
DAISY SKETCHBOOK ,20763,205.04,73,27
DANISH ROSE BEDSIDE CABINET,84816,519.35,13,10
DANISH ROSE DECORATIVE PLATE,84817,710.64,951,55
DANISH ROSE DELUXE COASTER,84821,407.15,935,40
DANISH ROSE FOLDING CHAIR,84823,890.4000000000001,112,25
DANISH ROSE PHOTO FRAME,84818,1460.81,1423,99
DANISH ROSE ROUND SEWING BOX,84819,951.79,811,62
DANISH ROSE TRINKET TRAYS,84820,483.05,259,31
DANISH ROSE UMBRELLA STAND,84824,31.9,2,2
DARK BIRD HOUSE TREE DECORATION,21015,589.55,1483,142
DECORATION  BUTTERFLY  MAGIC GARDEN,22250,730.9499999999999,819,147
DECORATION  PINK CHICK MAGIC GARDEN,22248,525.09,593,109
"DECORATION , WOBBLY CHICKEN, METAL ",22287,397.71999999999997,234,35
"DECORATION , WOBBLY RABBIT , METAL ",22286,518.03,293,48
"DECORATION HEN ON NEST, HANGING",22285,74.42999999999999,42,6
DECORATION SITTING BUNNY,22268,349.54,1480,83
DECORATION WHITE CHICK MAGIC GARDEN,22249,812.86,928,145
DECORATION WOBBLY CHICKEN,22287,319.14,560,45
DECORATION WOBBLY RABBIT METAL ,22286,504.46,830,67
DECORATIVE CATS BATHROOM BOTTLE,21774,1152.4,1095,186
DECORATIVE FLORE BATHROOM BOTTLE,21775,716.86,515,139
DECORATIVE HANGING SHELVING UNIT,84632,359.70000000000005,6,5
DECORATIVE PLANT POT WITH FRIEZE,22825,584.37,73,28
DECORATIVE ROSE BATHROOM BOTTLE,21773,1154.17,1170,163
DECORATIVE VINTAGE COFFEE  BOX,23413,277.0,52,22
DECORATIVE WICKER HEART LARGE,23329,3038.1899999999996,1767,233
DECORATIVE WICKER HEART MEDIUM,23330,2286.97,1794,216
DECORATIVE WICKER HEART SMALL,23331,1062.28,1596,109
"DECOUPAGE,GREETING CARD,",84247G,158.63,357,32
DECROTIVEVINTAGE COFFEE GRINDER BOX,23413,71.08,12,6
DELUXE SEWING KIT ,22654,9893.0,1411,328
DENIM PATCH PURSE PINK BUTTERFLY,20856,357.28999999999996,216,61
DIAMANTE BOW BROOCH BLACK COLOUR,90082D,58.03,9,5
DIAMANTE BOW BROOCH GREEN COLOUR,90082A,193.2,30,18
DIAMANTE BOW BROOCH RED COLOUR,90082B,158.75,25,10
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,90059B,26.52,16,10
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,90059A,74.53,45,27
DIAMANTE HAIR GRIP PACK/2 LT ROSE,90059F,34.69,21,14
DIAMANTE HAIR GRIP PACK/2 MONTANA,90059C,24.79,15,10
DIAMANTE HAIR GRIP PACK/2 PERIDOT,90059D,41.449999999999996,25,19
DIAMANTE HAIR GRIP PACK/2 RUBY,90059E,41.37,25,15
"DIAMANTE HEART SHAPED WALL MIRROR, ",22165,3328.2,415,146
DIAMANTE NECKLACE,90176C,23.32,3,2
DIAMANTE NECKLACE BLACK ,90176B,30.12,4,3
DIAMANTE NECKLACE GREEN,90176E,29.98,4,3
DIAMANTE NECKLACE PURPLE,90176D,52.5,7,4
DIAMANTE RING ASSORTED IN BOX.,90057,1311.3600000000001,1008,22
DIAMOND LAS VEGAS NECKLACE 45CM,90211A,70.97,12,8
DINOSAUR HEIGHT CHART STICKER SET,21251,568.98,182,46
DINOSAUR KEYRINGS ASSORTED,21829,1460.74,6765,177
DINOSAUR LUNCH BOX WITH CUTLERY,21561,3127.38,1282,214
DINOSAUR PARTY BAG + STICKER SET,22334,1160.7099999999998,707,101
DINOSAURS  WRITING SET ,21329,1723.6899999999998,941,287
DISCO BALL CHRISTMAS DECORATION,20668,1501.4,12883,215
DISCO BALL ROTATOR BATTERY OPERATED,21464,1055.25,249,105
DO NOT TOUCH MY STUFF DOOR HANGER ,21163,680.55,1196,127
DOCTOR'S BAG SOFT TOY,21056,1765.3999999999999,184,72
DOG AND BALL WALL ART,23522,425.87999999999994,252,4
DOG BOWL CHASING BALL DESIGN,22349,5381.5199999999995,1366,131
DOG BOWL VINTAGE CREAM,22852,1757.8799999999999,390,125
DOG LICENCE WALL ART,23526,2081.64,408,29
DOG TOY WITH PINK CROCHET SKIRT,84581,709.71,187,90
DOGGY RUBBER,10120,40.32,192,29
DOILEY BISCUIT TIN,23236,327.6,120,13
DOILEY STORAGE TIN,23236,3004.46,1094,122
DOILY THANK YOU CARD,23695,313.24,741,57
DOLLCRAFT BOY JEAN-PAUL ,23128,373.9,82,12
DOLLCRAFT GIRL AMELIE,23126,178.2,36,8
DOLLCRAFT GIRL AMELIE KIT,23126,294.7,66,8
DOLLCRAFT GIRL NICOLE,23127,336.6,68,12
DOLLY CABINET 2 DRAWERS ,23459,412.5,33,19
DOLLY CABINET 3 DRAWERS ,23458,762.4499999999999,51,30
DOLLY GIRL BABY GIFT SET,23008,6719.61,433,133
DOLLY GIRL CHILDRENS BOWL,23289,2013.7,1622,191
DOLLY GIRL CHILDRENS CUP,23291,2059.03,1634,195
DOLLY GIRL CHILDRENS EGG CUP,22977,1252.61,950,135
DOLLY GIRL LUNCH BOX,22630,21609.789999999997,11780,850
DOLLY GIRL MINI BACKPACK,23390,2992.3900000000003,739,161
DOLLY GIRL MINI RUCKSACK,23390,33.2,8,2
DOLLY GIRL WALL ART,23529,1055.94,318,11
DOLLY HONEYCOMB GARLAND,21202,485.46,474,25
DOLLY MIXTURE CHILDREN'S UMBRELLA,20686,922.67,267,77
DOLPHIN WINDMILL,77079,2.12,1,1
DONKEY TAIL GAME ,23229,189.54000000000002,54,4
DOOR HANGER  MUM + DADS ROOM,21248,330.71999999999997,205,66
DOORKNOB CERAMIC IVORY,23035,52.199999999999996,36,1
DOORKNOB CRACKED GLAZE BLUE,23028,238.49999999999997,162,3
DOORKNOB CRACKED GLAZE GREEN,23029,19.799999999999997,12,2
DOORKNOB CRACKED GLAZE IVORY,23032,258.29999999999995,174,5
DOORKNOB CRACKED GLAZE PINK,23031,19.799999999999997,12,2
DOORMAT 3 SMILEY CATS,48111,7708.48,1173,234
DOORMAT AIRMAIL ,22366,6034.9,803,223
DOORMAT BLACK FLOCK ,48173C,10000.66,1799,188
DOORMAT BLACK FLOCK ,48173c,252.95000000000002,15,7
DOORMAT CHRISTMAS VILLAGE,22687,3354.22,590,52
DOORMAT ENGLISH ROSE ,48184,14300.15,2044,411
DOORMAT FAIRY CAKE,48185,23872.91,3615,365
DOORMAT FANCY FONT HOME SWEET HOME,21523,21593.74,3245,502
DOORMAT FRIENDSHIP ,48189,451.10999999999996,27,17
DOORMAT HEARTS,48194,22114.42,3418,593
DOORMAT HOME SWEET HOME BLUE ,22690,9943.7,1621,286
DOORMAT I LOVE LONDON,22660,2678.96,364,102
DOORMAT KEEP CALM AND COME IN,23284,38133.64,5487,728
DOORMAT MERRY CHRISTMAS RED ,22689,5176.25,676,147
DOORMAT MULTICOLOUR STRIPE,48116,9080.68,1491,201
DOORMAT NEIGHBOURHOOD WITCH ,22414,2038.39,282,98
DOORMAT NEW ENGLAND,48187,24108.39,3807,600
DOORMAT PEACE ON EARTH BLUE,22688,3519.6600000000003,705,32
DOORMAT RED RETROSPOT,20685,28049.54,4089,697
DOORMAT RESPECTABLE HOUSE,22365,5754.03,792,182
DOORMAT SPOTTY HOME SWEET HOME,21524,13572.06,1752,480
DOORMAT TOPIARY,48129,6009.84,904,205
DOORMAT UNION FLAG,48138,25534.15,3751,616
DOORMAT UNION JACK GUNS AND ROSES,21955,7580.82,1228,206
DOORMAT VINTAGE LEAF,23283,4122.2,564,142
DOORMAT VINTAGE LEAVES DESIGN ,23283,2881.18,430,91
DOORMAT WELCOME PUPPIES,48188,12107.02,2064,287
DOORMAT WELCOME SUNRISE,22691,2678.77,371,120
DOORMAT WELCOME TO OUR HOME,22692,11539.06,1527,448
DOORSTOP FOOTBALL DESIGN,22513,539.9,152,67
DOORSTOP RACING CAR DESIGN,22512,269.71,123,38
DOORSTOP RETROSPOT HEART,22508,6525.88,1594,296
DOTCOM POSTAGE,DOT,206248.77,708,708
DOTCOMGIFTSHOP TEA TOWEL,22351,23.089999999999996,13,2
DOUBLE CERAMIC PARLOUR HOOK,23075,91.30000000000001,22,5
DOUGHNUT LIP GLOSS ,23077,13695.77,10395,344
DOVE DECORATION PAINTED ZINC ,22336,754.0300000000001,2381,79
DRAGONS BLOOD INCENSE,17084P,104.44,423,39
DRAWER KNOB CERAMIC BLACK,23034,1448.6699999999998,979,88
DRAWER KNOB CERAMIC IVORY,23035,3147.79,2155,190
DRAWER KNOB CERAMIC RED,23033,1058.8999999999999,714,74
DRAWER KNOB CRACKLE GLAZE BLUE,23028,2138.6299999999997,1207,134
DRAWER KNOB CRACKLE GLAZE GREEN,23029,2284.12,1340,154
DRAWER KNOB CRACKLE GLAZE IVORY,23032,3595.3799999999997,2154,194
DRAWER KNOB CRACKLE GLAZE PINK,23031,2132.4999999999995,1266,153
DRAWER KNOB VINTAGE GLASS BALL,23025,760.8000000000001,350,54
DRAWER KNOB VINTAGE GLASS HEXAGON,23027,627.95,295,30
DRAWER KNOB VINTAGE GLASS STAR,23026,1198.96,556,62
DROP DIAMANTE EARRINGS BLACK DIAMON,90177B,41.010000000000005,14,7
DROP DIAMANTE EARRINGS CRYSTAL,90177C,76.23,26,14
DROP DIAMANTE EARRINGS GREEN,90177E,41.080000000000005,14,9
DROP DIAMANTE EARRINGS PURPLE,90177D,73.53,25,14
DROP EARRINGS W FLOWER & LEAF,90188,22.58,9,7
DUSTY PINK CHRISTMAS TREE 30CM,35597A,1.25,1,1
DUSTY PINK CHRISTMAS TREE 60CM,35598A,26.550000000000004,9,2
Dad's Cab Electronic Meter,21595,16.94,2,2
Dotcomgiftshop Gift Voucher £10.00,gift_0001_10,74.97,9,8
Dotcomgiftshop Gift Voucher £100.00,22016,83.33,1,1
Dotcomgiftshop Gift Voucher £20.00,gift_0001_20,167.05,10,9
Dotcomgiftshop Gift Voucher £30.00,gift_0001_30,175.53,7,7
Dotcomgiftshop Gift Voucher £40.00,gift_0001_40,100.69999999999999,3,3
Dotcomgiftshop Gift Voucher £50.00,gift_0001_50,167.56,4,4
Dr. Jam's Arouzer Stress Ball,21594,8.34,2,2
EASTER BUNNY GARLAND OF FLOWERS,85186A,273.64,567,79
EASTER BUNNY HANGING GARLAND,35921,133.23,68,23
EASTER BUNNY WITH BASKET ON BACK,84231,72.63,108,20
EASTER BUNNY WREATH,35922,138.6,28,10
EASTER CRAFT 4 CHICKS ,22148,3917.45,1933,186
EASTER CRAFT IVY WREATH WITH CHICK,22146,1.95,1,1
EASTER DECORATION EGG BUNNY ,22267,673.17,836,83
EASTER DECORATION HANGING BUNNY,22266,595.85,1887,92
EASTER DECORATION NATURAL CHICK,22265,363.55,536,64
EASTER DECORATION SITTING BUNNY,22268,452.79999999999995,529,75
EASTER TIN BUCKET,21717,946.93,408,41
EASTER TIN BUNNY BOUQUET,22859,2003.07,1203,158
EASTER TIN CHICKS IN GARDEN,22861,522.93,305,50
EASTER TIN CHICKS PINK DAISY,22860,1017.7699999999999,589,107
EASTER TIN KEEPSAKE,22858,1860.7799999999997,1126,136
EASTER TREE YELLOW BIRDS,22281,929.44,131,63
EAU DE NIL LOVE BIRD CANDLE,85169C,452.86,429,46
EAU DE NILE HEART SHAPE PHOTO FRAME,85025B,555.1199999999999,329,38
EAU DE NILE JEWELLED PHOTOFRAME,85023B,235.35000000000002,105,13
EAU DE NILE JEWELLED PHOTOFRAME,85024B,289.65,193,12
EAU DE NILE JEWELLED T-LIGHT HOLDER,85026B,70.27,79,11
ECONOMY HOLIDAY PURSE,20666,41.53,30,17
ECONOMY LUGGAGE TAG,20659,246.84,158,62
EDWARDIAN DROP EARRINGS JET BLACK,90022,90.2,24,20
EDWARDIAN HEART PHOTO FRAME,23070,709.5400000000001,160,44
EDWARDIAN PARASOL BLACK,15056BL,15828.84,2844,321
EDWARDIAN PARASOL BLACK,15056bl,1086.88,87,62
EDWARDIAN PARASOL NATURAL,15056N,22152.690000000002,3950,456
EDWARDIAN PARASOL NATURAL,15056n,1585.2800000000002,127,84
EDWARDIAN PARASOL PINK,15056P,4354.92,776,144
EDWARDIAN PARASOL PINK,15056p,412.48,33,26
EDWARDIAN PARASOL RED,20679,10021.42,1710,326
EDWARDIAN PHOTO FRAME,23069,556.21,88,32
EGG CUP HENRIETTA HEN CREAM ,23568,787.52,630,48
EGG CUP HENRIETTA HEN PINK,23567,291.58,211,37
EGG CUP MILKMAID HEIDI,23566,1156.93,881,83
EGG CUP MILKMAID HELGA ,23565,586.31,410,63
EGG CUP MILKMAID INGRID,23564,841.31,644,76
EGG CUP NATURAL CHICKEN,22269,621.49,932,125
EGG FRYING PAN BLUE ,23339,400.84000000000003,173,76
EGG FRYING PAN IVORY ,23335,790.7800000000001,377,96
EGG FRYING PAN MINT ,23337,388.75,180,69
EGG FRYING PAN PINK ,23336,519.25,225,85
EGG FRYING PAN RED ,23338,915.4000000000001,431,109
EIGHT PIECE CREEPY CRAWLIE SET,21827,7.5,6,3
EIGHT PIECE DINOSAUR SET,21826,185.18,125,35
EIGHT PIECE SNAKE  SET,21828,435.79,330,84
ELEPHANT BIRTHDAY CARD ,21507,474.78,1110,95
ELEPHANT CARNIVAL POUFFE,21627,1299.83,63,47
ELEPHANT CLIP W SUCTION CUP,62074B,6.72,16,4
"ELEPHANT, BIRTHDAY CARD, ",21507,945.46,2210,167
ELVIS WALLHANGING / CURTAIN,46126A,69.84,52,8
EMBOSSED GLASS TEALIGHT HOLDER,22460,3273.5,2546,211
EMBOSSED HEART TRINKET BOX,23074,547.27,246,48
EMBROIDERED RIBBON REEL CLAIRE,23519,792.31,224,24
EMBROIDERED RIBBON REEL DAISY ,23515,1164.98,579,71
EMBROIDERED RIBBON REEL EMILY ,23511,1252.01,571,98
EMBROIDERED RIBBON REEL RACHEL ,23518,980.41,361,44
EMBROIDERED RIBBON REEL REBECCA ,23517,996.38,334,63
EMBROIDERED RIBBON REEL ROSIE,23512,975.24,500,57
EMBROIDERED RIBBON REEL RUBY ,23520,600.55,167,32
EMBROIDERED RIBBON REEL SALLY ,23514,977.39,478,74
EMBROIDERED RIBBON REEL SOPHIE  ,23516,1058.6,296,42
EMBROIDERED RIBBON REEL SUSIE ,23513,1114.26,566,70
EMERGENCY FIRST AID TIN ,22494,1572.27,1088,245
EMPIRE BIRTHDAY CARD,22023,538.72,1206,146
EMPIRE DESIGN ROSETTE,22053,3606.4199999999996,4244,28
EMPIRE GIFT WRAP,22047,1373.5,3375,106
EMPIRE TISSUE BOX,22091,1030.1000000000001,1983,167
EMPIRE UNION JACK TV DINNER TRAY,22476,2839.21,881,126
ENAMEL BLUE RIM BISCUIT BIN,35241,530.49,103,44
ENAMEL BLUE RIM COFFEE CONTAINER,35810B,174.09,152,26
ENAMEL BLUE RIM TEA CONTAINER,35809B,9.18,8,3
ENAMEL BOWL PANTRY,23250,30.0,24,2
ENAMEL BREAD BIN CREAM,22424,12358.33,873,454
ENAMEL COLANDER CREAM,22425,2346.1200000000003,461,167
ENAMEL DINNER PLATE PANTRY,23249,19.799999999999997,12,1
ENAMEL FIRE BUCKET CREAM,22428,1854.76,253,116
ENAMEL FLOWER JUG CREAM,22427,12647.26,2109,509
ENAMEL JUG PANTRY,23252,30.0,8,2
ENAMEL MEASURING JUG CREAM,22429,5507.18,1262,376
ENAMEL MUG PANTRY,23251,15.0,12,1
ENAMEL PINK COFFEE CONTAINER,35810A,640.0899999999999,633,75
ENAMEL PINK TEA CONTAINER,35809A,488.06,420,62
ENAMEL PINK TEA CONTAINER,35809a,37.33,9,9
ENAMEL WASH BOWL CREAM,22426,2855.21,745,210
ENAMEL WATERING CAN CREAM,22430,3241.34,624,199
ENCHANTED BIRD COATHANGER 5 HOOK,84792,3974.32,833,241
ENCHANTED BIRD PLANT CAGE,84789,640.72,186,48
ENGLISH ROSE GARDEN SECATEURS,47504K,2048.66,2018,212
ENGLISH ROSE HOT WATER BOTTLE,84030E,6414.69,1497,334
ENGLISH ROSE HOT WATER BOTTLE,84030e,877.76,108,41
ENGLISH ROSE METAL WASTE BIN,79071B,59.0,20,11
ENGLISH ROSE NOTEBOOK A6 SIZE,84535A,186.56,399,21
ENGLISH ROSE NOTEBOOK A7 SIZE,84536A,1409.8999999999999,3138,341
ENGLISH ROSE NOTEBOOK A7 SIZE,84536a,11.060000000000002,14,4
ENGLISH ROSE SCENTED HANGING FLOWER,47574A,665.2,548,114
ENGLISH ROSE SCENTED HANGING HEART,47574B,17.0,4,2
ENGLISH ROSE SMALL SCENTED FLOWER,47578A,197.43,213,45
ENGLISH ROSE SPIRIT LEVEL ,47504H,964.38,978,118
ENVELOPE 50 BLOSSOM IMAGES,85017B,600.29,1077,158
ENVELOPE 50 CURIOUS IMAGES,85017C,26.17,49,10
ENVELOPE 50 ROMANTIC IMAGES,85017A,13.58,16,8
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,18007,395.61,5884,30
ETCHED GLASS COASTER,21294,825.49,1618,71
ETCHED GLASS STAR TREE DECORATION,21009,1.25,1,1
EUCALYPTUS & PINECONE  WREATH,21352,1511.2600000000002,378,77
FAIRY CAKE BIRTHDAY CANDLE SET,37495,1622.24,440,92
FAIRY CAKE DESIGN UMBRELLA,15060B,1807.55,451,131
FAIRY CAKE DESIGN UMBRELLA,15060b,24.869999999999997,3,3
FAIRY CAKE FLANNEL ASSORTED COLOUR,21108,18056.280000000002,10241,262
FAIRY CAKE NOTEBOOK A5 SIZE,84534B,50.72,53,10
FAIRY CAKE NOTEBOOK A5 SIZE,84534b,3.32,2,2
FAIRY CAKES NOTEBOOK A6 SIZE,84535B,850.2,1348,156
FAIRY CAKES NOTEBOOK A7 SIZE,84536B,888.14,2102,178
FAIRY CAKES NOTEBOOK A7 SIZE,84536b,4.050000000000001,5,1
FAIRY DREAMS INCENSE ,17084N,313.31,1264,101
FAIRY SOAP SOAP HOLDER,84849B,478.83,266,76
FAIRY TALE COTTAGE NIGHT LIGHT,22466,1979.34,976,115
FAIRY TALE COTTAGE NIGHTLIGHT,22466,3626.45,2093,94
FAMILY ALBUM WHITE PICTURE FRAME,22169,10345.76,1197,372
FAMILY PHOTO FRAME CORNICE,22768,8258.59,867,260
FAN BLACK FRAME ,15030,41.47,143,12
"FANCY FONT BIRTHDAY CARD, ",21506,2085.89,4922,323
FANCY FONTS BIRTHDAY WRAP,21497,3409.0,8550,230
FANNY'S REST STOPMETAL SIGN,82599,1217.73,508,141
FAUX FUR CHOCOLATE THROW,22802,1474.74,87,49
FAWN AND MUSHROOM GREETING CARD,84247L,62.06,128,19
FAWN BLUE HOT WATER BOTTLE,21481,11443.87,3308,490
FBA,82583,0.0,160,1
"FEATHER PEN,COAL BLACK",51014C,1405.73,2687,174
"FEATHER PEN,COAL BLACK",51014c,0.83,1,1
"FEATHER PEN,HOT PINK",51014A,2000.06,3842,239
"FEATHER PEN,LIGHT PINK",51014L,1069.1399999999999,2059,149
FELT EGG COSY BLUE RABBIT ,22260,577.4399999999999,552,104
FELT EGG COSY CHICKEN,22262,950.4599999999999,1023,137
FELT EGG COSY LADYBIRD ,22263,195.97,326,51
FELT EGG COSY WHITE RABBIT ,22261,544.7099999999999,579,107
FELT FARM ANIMAL CHICKEN,22256,387.9,286,50
FELT FARM ANIMAL HEN,22259,332.84,481,44
FELT FARM ANIMAL RABBIT,22258,743.89,912,77
FELT FARM ANIMAL SHEEP,22257,280.42,373,42
FELT FARM ANIMAL WHITE BUNNY ,22264,736.98,1561,96
FELT TOADSTOOL  SMALL,22255,602.63,629,77
FELT TOADSTOOL LARGE,22254,836.8000000000001,657,61
FELTCRAFT 6 FLOWER FRIENDS,22149,12357.08,6070,547
FELTCRAFT BOY JEAN-PAUL KIT,23128,1884.76,366,127
FELTCRAFT BUTTERFLY HEARTS,22147,8621.14,6226,481
FELTCRAFT CHRISTMAS FAIRY,22940,7890.25,1915,321
FELTCRAFT CUSHION BUTTERFLY,22569,10110.83,2759,348
FELTCRAFT CUSHION OWL,22568,12413.89,3373,470
FELTCRAFT CUSHION RABBIT,22570,11204.97,3086,386
FELTCRAFT DOLL EMILY,22274,3953.4800000000005,1340,267
FELTCRAFT DOLL MARIA,22272,564.9200000000001,196,48
